order_id,carrier,promised_delivery_date,actual_delivery_date,shipment_status,tracking_event_count
MV-1001,UPS,2026-03-26,2026-03-25,Delivered,3
MV-1002,DPD,2026-02-02,2026-02-08,Delayed,4
MV-1003,DHL,2026-02-16,2026-02-20,Delayed,9
MV-1004,DHL,2026-02-24,2026-03-02,Delayed,6
MV-1005,UPS,2026-02-03,2026-02-05,Delivered,12
MV-1006,FedEx,2026-03-13,2026-03-13,Delivered,2
MV-1007,FedEx,2026-02-28,2026-02-28,Delivered,5
MV-1008,DPD,2026-03-21,2026-03-25,Delayed,4
MV-1009,FedEx,2026-03-25,2026-03-31,Delayed,12
MV-1010,FedEx,2026-01-19,2026-01-25,Delayed,12
MV-1011,FedEx,2026-03-26,2026-03-25,Delivered,7
MV-1012,FedEx,2026-02-10,2026-02-12,Delivered,4
MV-1013,UPS,2026-03-19,2026-03-18,Delivered,5
MV-1014,DHL,2026-01-12,2026-01-18,Delayed,7
MV-1015,DHL,2026-03-16,2026-03-16,Delivered,3
MV-1016,UPS,2026-04-03,2026-04-09,Delayed,3
MV-1017,UPS,2026-01-28,2026-01-27,Delivered,5
MV-1018,DPD,2026-03-04,2026-03-04,Delivered,8
MV-1019,DHL,2026-01-25,2026-01-24,Delivered,10
MV-1020,FedEx,2026-01-28,2026-01-29,Delivered,12
MV-1021,DHL,2026-02-06,2026-02-07,Delivered,11
MV-1022,DHL,2026-01-17,2026-01-19,Delivered,12
MV-1023,FedEx,2026-04-04,2026-04-04,Delivered,12
MV-1024,DPD,2026-03-13,2026-03-13,Delivered,9
MV-1025,FedEx,2026-03-20,2026-03-20,Delivered,2
MV-1026,DPD,2026-02-01,2026-02-07,Delayed,4
MV-1027,UPS,2026-01-07,2026-01-13,Delayed,9
MV-1028,DPD,2026-02-02,2026-02-02,Delivered,12
MV-1029,DHL,2026-04-05,2026-04-06,Delivered,11
MV-1030,DHL,2026-02-25,2026-02-25,Delivered,8
MV-1031,UPS,2026-04-03,2026-04-05,Delivered,4
MV-1032,DPD,2026-03-03,2026-03-04,Delivered,9
MV-1033,UPS,2026-04-03,2026-04-07,Delayed,6
MV-1034,DHL,2026-02-04,2026-02-04,Delivered,4
MV-1035,FedEx,2026-01-24,2026-01-28,Delayed,10
MV-1036,DPD,2026-03-05,2026-03-11,Delayed,10
MV-1037,UPS,2026-03-28,2026-03-29,Delivered,4
MV-1038,DPD,2026-01-12,2026-01-18,Delayed,11
MV-1039,FedEx,2026-03-09,2026-03-10,Delivered,5
MV-1040,DHL,2026-02-28,2026-03-01,Delivered,11
MV-1041,FedEx,2026-01-18,2026-01-24,Delayed,8
MV-1042,UPS,2026-01-17,2026-01-17,Delivered,2
MV-1043,FedEx,2026-02-04,2026-02-10,Delayed,4
MV-1044,DHL,2026-01-20,2026-01-19,Delivered,6
MV-1045,DPD,2026-03-18,2026-03-19,Delivered,7
MV-1046,DHL,2026-01-27,2026-01-27,Delivered,5
MV-1047,FedEx,2026-02-13,2026-02-19,Delayed,6
MV-1048,DPD,2026-02-15,2026-02-19,Delayed,9
MV-1049,FedEx,2026-01-11,2026-01-11,Delivered,9
MV-1050,FedEx,2026-02-19,2026-02-19,Delivered,11
MV-1051,FedEx,2026-01-23,2026-01-22,Delivered,2
MV-1052,FedEx,2026-03-05,2026-03-05,Delivered,4
MV-1053,DPD,2026-01-21,2026-01-21,Delivered,11
MV-1054,DHL,2026-02-15,2026-02-15,Delivered,10
MV-1055,UPS,2026-01-27,2026-01-27,Delivered,12
MV-1056,DPD,2026-03-03,2026-03-04,Delivered,3
MV-1057,UPS,2026-04-06,2026-04-05,Delivered,3
MV-1058,DPD,2026-04-07,2026-04-07,Delivered,4
MV-1059,DHL,2026-03-30,2026-04-03,Delayed,8
MV-1060,UPS,2026-03-10,2026-03-11,Delivered,2
MV-1061,UPS,2026-03-18,2026-03-17,Delivered,2
MV-1062,FedEx,2026-01-26,2026-01-27,Delivered,6
MV-1063,FedEx,2026-02-27,2026-02-27,Delivered,8
MV-1064,DPD,2026-03-16,2026-03-16,Delivered,7
MV-1065,UPS,2026-03-09,2026-03-10,Delivered,12
MV-1066,UPS,2026-03-14,2026-03-20,Delayed,12
MV-1067,DHL,2026-01-18,2026-01-22,Delayed,9
MV-1068,DHL,2026-03-24,2026-03-23,Delivered,7
MV-1069,UPS,2026-02-16,2026-02-18,Delivered,12
MV-1070,FedEx,2026-03-10,2026-03-09,Delivered,9
MV-1071,DHL,2026-03-24,2026-03-28,Delayed,6
MV-1072,FedEx,2026-04-02,2026-04-08,Delayed,5
MV-1073,DHL,2026-02-01,2026-02-01,Delivered,9
MV-1074,FedEx,2026-03-23,2026-03-29,Delayed,4
MV-1075,DHL,2026-03-11,2026-03-10,Delivered,8
MV-1076,FedEx,2026-02-09,2026-02-10,Delivered,2
MV-1077,DPD,2026-03-26,2026-03-28,Delivered,4
MV-1078,UPS,2026-03-07,2026-03-06,Delivered,7
MV-1079,DHL,2026-03-02,2026-03-08,Delayed,9
MV-1080,UPS,2026-04-01,2026-04-03,Delivered,5
MV-1081,UPS,2026-02-17,2026-02-16,Delivered,7
MV-1082,DHL,2026-03-25,2026-03-27,Delivered,11
MV-1083,DPD,2026-03-02,2026-03-03,Delivered,8
MV-1084,FedEx,2026-04-06,2026-04-07,Delivered,11
MV-1085,DPD,2026-03-09,2026-03-09,Delivered,9
MV-1086,DHL,2026-02-27,2026-02-26,Delivered,8
MV-1087,FedEx,2026-02-26,2026-03-04,Delayed,2
MV-1088,DPD,2026-03-25,2026-03-27,Delivered,5
MV-1089,DHL,2026-03-20,2026-03-20,Delivered,7
MV-1090,FedEx,2026-02-03,2026-02-03,Delivered,4
MV-1091,DPD,2026-02-18,2026-02-19,Delivered,11
MV-1092,DHL,2026-02-26,2026-02-26,Delivered,8
MV-1093,UPS,2026-01-06,2026-01-07,Delivered,10
MV-1094,DPD,2026-03-15,2026-03-19,Delayed,12
MV-1095,DPD,2026-02-11,2026-02-11,Delivered,8
MV-1096,FedEx,2026-03-15,2026-03-21,Delayed,7
MV-1097,DPD,2026-04-03,2026-04-04,Delivered,11
MV-1098,DHL,2026-04-01,2026-04-01,Delivered,10
MV-1099,DHL,2026-02-19,2026-02-21,Delivered,10
MV-1100,UPS,2026-03-03,2026-03-05,Delivered,12
MV-1101,FedEx,2026-01-09,2026-01-15,Delayed,12
MV-1102,DPD,2026-01-14,2026-01-14,Delivered,6
MV-1103,DPD,2026-01-21,2026-01-25,Delayed,12
MV-1104,DHL,2026-03-12,2026-03-11,Delivered,6
MV-1105,DHL,2026-03-11,2026-03-15,Delayed,9
MV-1106,FedEx,2026-03-04,2026-03-10,Delayed,5
MV-1107,DHL,2026-04-02,2026-04-08,Delayed,6
MV-1108,DHL,2026-03-29,2026-04-04,Delayed,8
MV-1109,FedEx,2026-02-06,2026-02-05,Delivered,12
MV-1110,DPD,2026-01-26,2026-01-26,Delivered,4
MV-1111,DHL,2026-01-25,2026-01-27,Delivered,10
MV-1112,DHL,2026-03-26,2026-03-28,Delivered,7
MV-1113,FedEx,2026-03-12,2026-03-12,Delivered,3
MV-1114,UPS,2026-02-10,2026-02-14,Delayed,9
MV-1115,UPS,2026-01-28,2026-01-28,Delivered,2
MV-1116,DPD,2026-02-14,2026-02-14,Delivered,9
MV-1117,FedEx,2026-02-21,2026-02-21,Delivered,12
MV-1118,DHL,2026-02-18,2026-02-18,Delivered,12
MV-1119,DHL,2026-01-18,2026-01-18,Delivered,8
MV-1120,UPS,2026-03-25,2026-03-24,Delivered,2
