order_id,material_cost,production_cost,packaging_cost,shipping_cost,total_cost
MV-1001,117.24,133.35,37.27,138.1,425.96
MV-1002,1702.64,1180.54,32.46,75.64,2991.28
MV-1003,3304.31,2625.17,27.2,72.9,6029.58
MV-1004,8940.47,6227.63,45.23,29.16,15242.49
MV-1005,1181.15,1068.84,43.51,160.36,2453.86
MV-1006,482.38,369.32,44.23,188.57,1084.5
MV-1007,1696.48,1187.88,55.73,111.77,3051.86
MV-1008,332.72,328.72,47.79,192.22,901.45
MV-1009,3329.51,2512.78,10.57,164.14,6017.0
MV-1010,1780.72,1046.31,35.03,55.73,2917.79
MV-1011,158.86,141.82,36.52,20.11,520.05
MV-1012,49.2,41.73,36.64,45.15,172.72
MV-1013,3092.06,2109.18,43.58,94.68,5339.5
MV-1014,1245.67,1492.32,12.94,33.48,2784.41
MV-1015,131.71,88.55,33.63,176.92,430.81
MV-1016,497.69,562.43,42.31,32.12,1134.55
MV-1017,130.02,126.01,13.77,244.97,488.92
MV-1018,12028.71,8801.91,29.52,205.3,21065.44
MV-1019,48.42,45.86,12.51,115.36,222.15
MV-1020,4367.23,2926.3,38.95,27.95,7360.43
MV-1021,287.83,209.11,56.45,207.15,760.54
MV-1022,266.37,210.71,28.48,51.55,766.3
MV-1023,84.05,87.34,23.62,140.97,335.98
MV-1024,51.23,34.98,48.56,147.42,282.19
MV-1025,4921.55,3478.86,17.4,45.49,8463.3
MV-1026,8659.21,7731.34,17.73,205.98,16614.26
MV-1027,7611.99,4614.74,49.37,41.62,12317.72
MV-1028,5959.81,4169.89,23.93,33.88,10187.51
MV-1029,67.56,38.27,15.42,106.91,228.16
MV-1030,39.32,35.9,44.34,208.05,327.61
MV-1031,3437.81,2784.53,30.42,100.48,6353.24
MV-1032,909.07,556.83,20.51,177.15,1663.56
MV-1033,5143.14,5325.62,41.65,87.04,22841.08
MV-1034,194.35,132.97,54.31,201.61,618.73
MV-1035,3024.8,2784.3,52.42,111.29,5972.81
MV-1036,5852.64,6756.62,32.5,170.36,12812.12
MV-1037,49.12,40.71,37.01,47.67,174.51
MV-1038,2176.06,1981.1,55.24,136.82,4349.22
MV-1039,8087.52,4999.12,47.38,129.23,13263.25
MV-1040,410.58,288.16,33.37,45.53,777.64
MV-1041,67.2,57.87,26.88,195.93,347.88
MV-1042,58.74,74.99,12.01,26.21,171.95
MV-1043,2274.89,1954.73,40.29,212.75,4482.66
MV-1044,1711.67,1790.68,19.92,138.42,6345.15
MV-1045,574.85,422.03,52.48,184.47,1233.83
MV-1046,2499.72,1858.47,33.24,185.15,4576.58
MV-1047,756.05,660.78,26.25,117.51,1560.59
MV-1048,51.93,59.2,34.43,171.63,317.19
MV-1049,600.72,412.99,37.67,88.75,1140.13
MV-1050,2123.98,1843.45,44.51,58.31,4070.25
MV-1051,312.16,182.82,12.28,54.77,982.7
MV-1052,293.67,158.94,13.27,118.35,584.23
MV-1053,9805.57,5859.89,36.13,110.1,15811.69
MV-1054,1474.52,1099.57,23.23,36.24,2633.56
MV-1055,4914.23,4681.86,24.14,191.92,21491.8
MV-1056,4737.12,2535.83,18.3,81.52,7372.77
MV-1057,2045.79,1623.34,31.6,84.46,3785.19
MV-1058,8217.52,7148.18,18.76,123.79,15508.25
MV-1059,429.47,371.34,26.49,158.73,986.03
MV-1060,317.96,270.02,59.41,151.53,798.92
MV-1061,3272.79,3186.45,56.38,107.62,6623.24
MV-1062,1629.82,1245.95,33.07,43.49,2952.33
MV-1063,995.37,1001.04,47.31,47.3,2091.02
MV-1064,4696.67,3891.92,53.26,109.31,8751.16
MV-1065,842.38,453.49,47.24,161.05,1504.16
MV-1066,1045.85,676.67,36.3,111.39,2995.03
MV-1067,896.31,844.64,43.72,126.72,1911.39
MV-1068,88.3,63.61,45.19,58.13,243.1
MV-1069,124.02,109.87,18.5,35.79,288.18
MV-1070,321.22,223.05,50.23,200.24,794.74
MV-1071,1137.2,961.24,21.86,134.38,2254.68
MV-1072,1601.03,1232.48,47.26,186.57,3067.34
MV-1073,242.01,184.76,16.84,39.43,483.04
MV-1074,174.8,137.99,36.97,214.3,564.06
MV-1075,669.11,505.83,46.21,215.99,1437.14
MV-1076,384.64,331.45,41.93,94.29,852.31
MV-1077,3415.26,2653.6,11.86,219.19,14139.77
MV-1078,1858.64,1328.93,51.68,143.13,3382.38
MV-1079,46.34,32.74,13.03,75.18,167.29
MV-1080,54.05,55.76,13.43,173.03,296.27
MV-1081,420.08,378.12,15.5,193.29,1006.99
MV-1082,354.89,239.15,13.18,109.66,716.88
MV-1083,51.01,34.49,32.9,212.81,331.21
MV-1084,102.04,81.7,41.22,137.07,362.03
