order_id,order_date,customer_id,product_type,country,selling_price,quantity,quoted_margin_pct
MV-1001,2026-03-23,CUST-107,CNC Machining,Italy,495.93,2,0.12
MV-1002,2026-01-30,CUST-132,Vacuum Casting,Germany,5125.15,20,0.12
MV-1003,2026-02-13,CUST-117,3D Printing,France,11767.96,100,0.15
MV-1004,2026-02-18,CUST-105,Vacuum Casting,Italy,24982.23,100,0.25
MV-1005,2026-01-30,CUST-106,Injection Molding,Italy,4800.93,10,0.25
MV-1006,2026-03-10,CUST-115,3D Printing,Spain,1496.23,10,0.15
MV-1007,2026-02-21,CUST-117,CNC Machining,France,5222.02,20,0.25
MV-1008,2026-03-16,CUST-127,Vacuum Casting,Spain,1374.12,5,0.12
MV-1009,2026-03-18,CUST-104,Injection Molding,Spain,8869.87,20,0.18
MV-1010,2026-01-15,CUST-118,Injection Molding,France,4944.58,10,0.1
MV-1011,2026-03-23,CUST-132,Vacuum Casting,France,518.65,2,0.15
MV-1012,2026-01-31,CUST-103,3D Printing,Netherlands,140.35,1,0.1
MV-1013,2026-03-09,CUST-138,Injection Molding,France,9255.68,20,0.25
MV-1014,2026-01-09,CUST-121,CNC Machining,Netherlands,5632.66,20,0.12
MV-1015,2026-03-07,CUST-115,Sheet Metal,Spain,356.29,2,0.2
MV-1016,2026-03-26,CUST-127,Sheet Metal,Spain,2176.47,10,0.18
MV-1017,2026-01-25,CUST-112,Vacuum Casting,Spain,442.22,2,0.18
MV-1018,2026-02-22,CUST-131,Injection Molding,France,48829.31,100,0.18
MV-1019,2026-01-20,CUST-112,Sheet Metal,France,210.73,1,0.2
MV-1020,2026-01-24,CUST-104,Vacuum Casting,Germany,11782.46,50,0.12
MV-1021,2026-02-03,CUST-113,Sheet Metal,France,890.34,5,0.18
MV-1022,2026-01-10,CUST-134,3D Printing,Netherlands,737.99,5,0.12
MV-1023,2026-03-27,CUST-135,Sheet Metal,Germany,354.47,2,0.15
MV-1024,2026-03-06,CUST-131,Sheet Metal,Germany,193.87,1,0.25
MV-1025,2026-03-13,CUST-100,CNC Machining,Germany,13920.96,50,0.12
MV-1026,2026-01-27,CUST-115,CNC Machining,Italy,30381.01,100,0.2
MV-1027,2026-01-04,CUST-111,Sheet Metal,Spain,21765.95,100,0.25
MV-1028,2026-01-26,CUST-129,Sheet Metal,Italy,18303.79,100,0.12
MV-1029,2026-03-28,CUST-134,Sheet Metal,Germany,180.64,1,0.15
MV-1030,2026-02-19,CUST-136,3D Printing,Italy,129.7,1,0.25
MV-1031,2026-03-27,CUST-121,Vacuum Casting,Italy,12825.19,50,0.1
MV-1032,2026-02-23,CUST-124,3D Printing,Netherlands,2572.37,20,0.15
